Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
1,10452,44060,23099,20961,5686,2993,2693,8216,4202,4014,1551,822,729,34931,18862,16069,9129,4237,4892,16351,12928,3423,15010,12179,2831,77,64,13,109,86,23,405,274,131,14419,11755,2664,1341,749,592,19,10,9,29,19,10,175,33,142,1118,687,431,1224,692,532,18,9,9,29,19,10,158,32,126,1019,632,387,117,57,60,1,1,0,0,0,0,17,1,16,99,55,44,27709,10171,17538
2,5933,25430,13125,12305,3054,1591,1463,3887,1985,1902,250,135,115,19673,10456,9217,5757,2669,3088,9765,6942,2823,8719,6530,2189,35,26,9,69,59,10,217,154,63,8398,6291,2107,1046,412,634,22,12,10,28,16,12,29,7,22,967,377,590,828,355,473,20,12,8,27,15,12,24,5,19,757,323,434,218,57,161,2,0,2,1,1,0,5,2,3,210,54,156,15665,6183,9482
3,5487,22592,11528,11064,2487,1347,1140,4846,2444,2402,247,127,120,17822,9347,8475,4770,2181,2589,8618,6279,2339,7951,5915,2036,17,14,3,35,23,12,230,152,78,7669,5726,1943,667,364,303,24,17,7,6,2,4,30,6,24,607,339,268,608,326,282,22,15,7,6,2,4,24,4,20,556,305,251,59,38,21,2,2,0,0,0,0,6,2,4,51,34,17,13974,5249,8725
4,5906,24678,12830,11848,2586,1367,1219,3478,1744,1734,514,269,245,20472,10849,9623,4206,1981,2225,9434,7067,2367,8545,6521,2024,36,31,5,13,11,2,185,91,94,8311,6388,1923,889,546,343,23,14,9,8,3,5,66,18,48,792,511,281,826,511,315,23,14,9,7,3,4,60,13,47,736,481,255,63,35,28,0,0,0,1,0,1,6,5,1,56,30,26,15244,5763,9481
5,4242,18490,9378,9112,1972,1023,949,5611,2801,2810,247,123,124,14333,7512,6821,4157,1866,2291,6985,5001,1984,6507,4700,1807,13,9,4,11,10,1,98,52,46,6385,4629,1756,478,301,177,6,3,3,2,1,1,10,5,5,460,292,168,405,260,145,6,3,3,0,0,0,9,5,4,390,252,138,73,41,32,0,0,0,2,1,1,1,0,1,70,40,30,11505,4377,7128
6,5241,26134,15086,11048,2315,1217,1098,5419,2885,2534,563,376,187,20464,12316,8148,5670,2770,2900,8885,6972,1913,8581,6767,1814,56,44,12,48,44,4,235,181,54,8242,6498,1744,304,205,99,9,4,5,3,3,0,11,6,5,281,192,89,251,183,68,8,3,5,3,3,0,10,6,4,230,171,59,53,22,31,1,1,0,0,0,0,1,0,1,51,21,30,17249,8114,9135
7,8764,33810,17610,16200,3694,1865,1829,5560,2795,2765,276,148,128,26926,14337,12589,6884,3273,3611,13679,9923,3756,11892,8661,3231,106,83,23,58,39,19,444,309,135,11284,8230,3054,1787,1262,525,35,19,16,10,8,2,62,27,35,1680,1208,472,1433,986,447,35,19,16,9,7,2,45,21,24,1344,939,405,354,276,78,0,0,0,1,1,0,17,6,11,336,269,67,20131,7687,12444
8,9598,37947,20290,17657,4993,2645,2348,3732,1907,1825,271,146,125,29477,16249,13228,8470,4041,4429,15066,11653,3413,13788,10847,2941,125,92,33,100,72,28,376,244,132,13187,10439,2748,1278,806,472,48,28,20,7,2,5,48,20,28,1175,756,419,1104,678,426,47,27,20,4,1,3,44,17,27,1009,633,376,174,128,46,1,1,0,3,1,2,4,3,1,166,123,43,22881,8637,14244
9,5953,24332,13030,11302,3299,1788,1511,3269,1694,1575,364,201,163,18557,10238,8319,5775,2792,2983,9083,7264,1819,8439,6923,1516,83,61,22,26,19,7,234,131,103,8096,6712,1384,644,341,303,19,14,5,9,4,5,30,15,15,586,308,278,579,306,273,18,13,5,9,4,5,27,13,14,525,276,249,65,35,30,1,1,0,0,0,0,3,2,1,61,32,29,15249,5766,9483
10,5850,24433,12814,11619,2695,1433,1262,2482,1249,1233,128,69,59,19695,10563,9132,4738,2251,2487,9548,7100,2448,8744,6656,2088,45,35,10,36,33,3,450,150,300,8213,6438,1775,804,444,360,14,5,9,3,2,1,23,9,14,764,428,336,711,383,328,14,5,9,1,1,0,22,9,13,674,368,306,93,61,32,0,0,0,2,1,1,1,0,1,90,60,30,14885,5714,9171
11,7831,32731,17179,15552,4217,2216,2001,4179,2132,2047,423,216,207,25917,13948,11969,6814,3231,3583,12363,9583,2780,11582,9127,2455,39,30,9,60,40,20,451,305,146,11032,8752,2280,781,456,325,19,10,9,16,8,8,35,18,17,711,420,291,698,410,288,19,10,9,16,8,8,33,17,16,630,375,255,83,46,37,0,0,0,0,0,0,2,1,1,81,45,36,20368,7596,12772
12,6250,25865,13587,12278,2666,1409,1257,2074,1047,1027,270,145,125,21213,11296,9917,4652,2291,2361,10307,7781,2526,9634,7439,2195,37,31,6,35,31,4,273,196,77,9289,7181,2108,673,342,331,26,16,10,6,4,2,46,25,21,595,297,298,604,298,306,23,14,9,6,4,2,35,17,18,540,263,277,69,44,25,3,2,1,0,0,0,11,8,3,55,34,21,15558,5806,9752
13,6493,25272,13101,12171,2491,1320,1171,1591,804,787,100,56,44,21213,11044,10169,4059,2057,2002,9878,7091,2787,9295,6782,2513,72,60,12,70,52,18,242,146,96,8911,6524,2387,583,309,274,20,10,10,7,1,6,62,18,44,494,280,214,497,262,235,17,9,8,5,0,5,37,11,26,438,242,196,86,47,39,3,1,2,2,1,1,25,7,18,56,38,18,15394,6010,9384
14,4361,18483,9390,9093,1803,947,856,4025,2006,2019,233,134,99,15304,7991,7313,3179,1399,1780,7048,5112,1936,6684,4901,1783,12,8,4,17,16,1,85,44,41,6570,4833,1737,364,211,153,11,4,7,1,1,0,14,4,10,338,202,136,323,190,133,11,4,7,1,1,0,10,2,8,301,183,118,41,21,20,0,0,0,0,0,0,4,2,2,37,19,18,11435,4278,7157
15,3944,16691,8449,8242,1639,872,767,4036,1987,2049,197,99,98,14180,7366,6814,2511,1083,1428,5846,4437,1409,5454,4217,1237,13,8,5,11,6,5,114,75,39,5316,4128,1188,392,220,172,5,3,2,1,1,0,18,4,14,368,212,156,327,184,143,5,3,2,1,1,0,13,3,10,308,177,131,65,36,29,0,0,0,0,0,0,5,1,4,60,35,25,10845,4012,6833
16,3382,15724,8044,7680,1586,834,752,4036,1973,2063,373,183,190,12408,6534,5874,3316,1510,1806,5809,3890,1919,5434,3700,1734,12,7,5,6,2,4,82,47,35,5334,3644,1690,375,190,185,14,8,6,6,2,4,17,10,7,338,170,168,337,165,172,14,8,6,5,2,3,17,10,7,301,145,156,38,25,13,0,0,0,1,0,1,0,0,0,37,25,12,9915,4154,5761
17,3330,15990,7986,8004,1709,883,826,3652,1760,1892,138,68,70,12573,6507,6066,3417,1479,1938,5764,4235,1529,5144,3891,1253,17,8,9,17,13,4,386,252,134,4724,3618,1106,620,344,276,26,9,17,3,2,1,46,23,23,545,310,235,545,295,250,25,9,16,3,2,1,32,15,17,485,269,216,75,49,26,1,0,1,0,0,0,14,8,6,60,41,19,10226,3751,6475
18,3183,14960,7506,7454,1709,910,799,4466,2218,2248,68,39,29,11144,5849,5295,3816,1657,2159,5309,3912,1397,4734,3525,1209,18,14,4,18,9,9,72,45,27,4626,3457,1169,575,387,188,9,2,7,1,0,1,17,8,9,548,377,171,489,331,158,9,2,7,1,0,1,11,5,6,468,324,144,86,56,30,0,0,0,0,0,0,6,3,3,80,53,27,9651,3594,6057
19,3607,17702,8969,8733,2251,1155,1096,3618,1808,1810,113,60,53,12933,6908,6025,4769,2061,2708,6225,4675,1550,5784,4393,1391,15,12,3,17,13,4,194,101,93,5558,4267,1291,441,282,159,6,3,3,3,2,1,23,9,14,409,268,141,314,202,112,6,3,3,3,2,1,20,7,13,285,190,95,127,80,47,0,0,0,0,0,0,3,2,1,124,78,46,11477,4294,7183
20,3780,18332,9333,8999,2411,1212,1199,6187,3071,3116,144,77,67,13195,7162,6033,5137,2171,2966,6600,4880,1720,6011,4577,1434,16,10,6,81,62,19,363,200,163,5551,4305,1246,589,303,286,6,2,4,18,9,9,38,17,21,527,275,252,420,243,177,6,2,4,17,9,8,33,14,19,364,218,146,169,60,109,0,0,0,1,0,1,5,3,2,163,57,106,11732,4453,7279
21,3878,17865,9299,8566,2074,1079,995,3225,1607,1618,304,158,146,13723,7549,6174,4142,1750,2392,6280,5014,1266,5856,4823,1033,34,32,2,91,63,28,181,131,50,5550,4597,953,424,191,233,8,5,3,20,8,12,20,4,16,376,174,202,246,146,100,8,5,3,19,8,11,11,2,9,208,131,77,178,45,133,0,0,0,1,0,1,9,2,7,168,43,125,11585,4285,7300
22,3837,18071,9129,8942,1999,1026,973,5011,2532,2479,225,111,114,13348,7132,6216,4723,1997,2726,6590,4774,1816,6099,4484,1615,16,10,6,21,14,7,210,134,76,5852,4326,1526,491,290,201,11,7,4,7,4,3,32,12,20,441,267,174,274,154,120,11,7,4,5,3,2,10,3,7,248,141,107,217,136,81,0,0,0,2,1,1,22,9,13,193,126,67,11481,4355,7126
23,3631,15744,7666,8078,1296,693,603,1698,839,859,608,284,324,12976,6490,6486,2768,1176,1592,6002,4162,1840,5766,4050,1716,15,12,3,26,12,14,142,61,81,5583,3965,1618,236,112,124,18,6,12,3,1,2,22,6,16,193,99,94,197,98,99,18,6,12,2,1,1,15,6,9,162,85,77,39,14,25,0,0,0,1,0,1,7,0,7,31,14,17,9742,3504,6238
24,4283,17876,8926,8950,1720,892,828,3466,1667,1799,188,88,100,14917,7572,7345,2959,1354,1605,6750,4746,2004,6362,4517,1845,21,15,6,53,34,19,150,81,69,6138,4387,1751,388,229,159,14,6,8,2,1,1,25,10,15,347,212,135,333,194,139,14,6,8,2,1,1,22,9,13,295,178,117,55,35,20,0,0,0,0,0,0,3,1,2,52,34,18,11126,4180,6946
25,3563,15834,7905,7929,1637,831,806,3748,1828,1920,226,110,116,12705,6639,6066,3129,1266,1863,5783,4284,1499,5544,4135,1409,8,4,4,12,6,6,315,139,176,5209,3986,1223,239,149,90,4,1,3,0,0,0,11,5,6,224,143,81,194,118,76,4,1,3,0,0,0,5,0,5,185,117,68,45,31,14,0,0,0,0,0,0,6,5,1,39,26,13,10051,3621,6430
26,3868,16240,8141,8099,1539,770,769,4529,2237,2292,282,138,144,13454,6968,6486,2786,1173,1613,6317,4363,1954,5859,4092,1767,35,17,18,29,12,17,141,76,65,5654,3987,1667,458,271,187,13,8,5,1,0,1,14,7,7,430,256,174,410,242,168,13,8,5,1,0,1,10,4,6,386,230,156,48,29,19,0,0,0,0,0,0,4,3,1,44,26,18,9923,3778,6145
27,4555,17766,8934,8832,1745,918,827,2016,1029,987,359,187,172,14843,7607,7236,2923,1327,1596,7757,5103,2654,7034,4811,2223,93,58,35,44,28,16,283,164,119,6614,4561,2053,723,292,431,19,9,10,6,2,4,43,13,30,655,268,387,666,274,392,18,8,10,5,2,3,29,9,20,614,255,359,57,18,39,1,1,0,1,0,1,14,4,10,41,13,28,10009,3831,6178
28,8142,31972,16781,15191,3995,2051,1944,2791,1415,1376,294,157,137,24888,13529,11359,7084,3252,3832,13195,9460,3735,12425,9050,3375,196,156,40,56,40,16,222,129,93,11951,8725,3226,770,410,360,27,9,18,9,3,6,22,5,17,712,393,319,710,379,331,24,8,16,9,3,6,17,3,14,660,365,295,60,31,29,3,1,2,0,0,0,5,2,3,52,28,24,18777,7321,11456
29,6120,23994,12422,11572,3002,1551,1451,2198,1137,1061,984,498,486,18960,10120,8840,5034,2302,2732,10043,7226,2817,8994,6682,2312,65,46,19,70,49,21,206,117,89,8653,6470,2183,1049,544,505,13,4,9,16,8,8,96,20,76,924,512,412,900,465,435,13,4,9,15,8,7,48,6,42,824,447,377,149,79,70,0,0,0,1,0,1,48,14,34,100,65,35,13951,5196,8755
30,6017,24574,12618,11956,3195,1656,1539,3542,1802,1740,426,222,204,17970,9585,8385,6604,3033,3571,9940,7062,2878,9177,6605,2572,51,37,14,23,14,9,181,118,63,8922,6436,2486,763,457,306,19,9,10,3,2,1,21,11,10,720,435,285,694,423,271,18,8,10,3,2,1,15,10,5,658,403,255,69,34,35,1,1,0,0,0,0,6,1,5,62,32,30,14634,5556,9078
