"","Route.Type","Route","Stop.Code","Stop.Seq","Stop.Name","LAT","LONG","Stage"
"1","BRTS","100-D","100-D-01","1","Hinjawadi Maan Phase 3",18.576553,73.688178,"1"
"2","BRTS","100-D","100-D-02","2","Tech Mahindra",18.581016,73.687704,"1"
"3","BRTS","100-D","100-D-03","3","Tata Motors",18.58686,73.700098,"2"
"4","BRTS","100-D","100-D-04","4","Power House Hinjawadi",18.58899,73.7054,"2"
"5","BRTS","100-D","100-D-05","5","Infosys Phase 2",18.593741,73.70821,"3"
"6","BRTS","100-D","100-D-06","6","Emcure",18.5959,73.71247,"3"
"7","BRTS","100-D","100-D-07","7","Wipro Company Circle",18.596911,73.718287,"4"
"8","BRTS","100-D","100-D-08","8","Tata Johnsan",18.594508,73.728077,"4"
"9","BRTS","100-D","100-D-09","9","Geometric",18.593488,73.732447,"4"
"10","BRTS","100-D","100-D-10","10","Siemens",18.587633,73.733312,"4"
"11","BRTS","100-D","100-D-11","11","Infosys Phase 1",18.586096,73.734505,"5"
"12","BRTS","100-D","100-D-12","12","Shivaji Chowk Hinjawadi",18.591606,73.738883,"5"
"13","BRTS","100-D","100-D-13","13","Hinjawadi Jakat Naka",18.59585,73.74031,"6"
"14","BRTS","100-D","100-D-14","14","Sawtamali Mandir",18.592078,73.754691,"6"
"15","BRTS","100-D","100-D-15","15","Wakad Chowk",18.592449,73.76202,"6"
"16","BRTS","100-D","100-D-16","16","Mount Vert Society Wakad",18.590099,73.769593,"6"
"17","BRTS","100-D","100-D-17","17","Mankar Chowk",18.590416,73.77338,"7"
"18","BRTS","100-D","100-D-18","18","Apple Hospital",18.588616,73.781315,"7"
"19","BRTS","100-D","100-D-19","19","Vishalnagar",18.588162,73.78421,"8"
"20","BRTS","100-D","100-D-20","20","Wakad Phata",18.587935,73.789569,"9"
"21","BRTS","100-D","100-D-21","21","Rakshak Chowk",18.58164,73.798309,"9"
"22","BRTS","100-D","100-D-22","22","Aundh Hospital",18.575034,73.80516,"10"
"23","BRTS","100-D","100-D-23","23","Sangvi Phata",18.573146,73.806917,"10"
"24","BRTS","100-D","100-D-24","24","Aundhgaon",18.565485,73.812355,"11"
"25","BRTS","100-D","100-D-25","25","Bodygate",18.563207,73.813331,"11"
"26","BRTS","100-D","100-D-26","26","Bremen Chowk",18.560593,73.81484,"11"
"27","BRTS","100-D","100-D-27","27","Sindh Colony Aundh Road",18.556689,73.817807,"11"
"28","BRTS","100-D","100-D-28","28","Kasturba Gandhi Vasahat",18.555199,73.818886,"12"
"29","BRTS","100-D","100-D-29","29","Gol Market Aundh Road",18.551525,73.821579,"12"
"30","BRTS","100-D","100-D-30","30","Bal Kalyan Sanstha",18.54874,73.82361,"12"
"31","BRTS","100-D","100-D-31","31","Pune Vidhyapeeth Gate",18.54145,73.83016,"13"
"32","BRTS","100-D","100-D-32","32","E Square",18.538133,73.834743,"13"
"33","BRTS","100-D","100-D-33","33","Pumping Station",18.532967,73.841736,"13"
"34","BRTS","100-D","100-D-34","34","Mhasoba Gate",18.532405,73.842548,"14"
"35","BRTS","100-D","100-D-35","35","Simla Office",18.530423,73.849268,"14"
"36","BRTS","100-D","100-D-36","36","COEP Hostel",18.528593,73.852315,"14"
"37","BRTS","100-D","100-D-37","37","Modern HighSchool",18.525133,73.849242,"14"
"38","BRTS","100-D","100-D-38","38","Ma Na Pa Dengle Pul",18.52357,73.85488,"15"
"39","BRTS","100-U","100-U-01","1","Ma Na Pa Dengle Pul",18.52357,73.85488,"1"
"40","BRTS","100-U","100-U-02","2","Shivaji Maharaj Putla",18.526309,73.852866,"1"
"41","BRTS","100-U","100-U-03","3","Simla Office",18.530306,73.849098,"1"
"42","BRTS","100-U","100-U-04","4","Mhasoba Gate",18.53235,73.842404,"2"
"43","BRTS","100-U","100-U-05","5","Pumping Station",18.533059,73.841372,"2"
"44","BRTS","100-U","100-U-06","6","Mafatlal Bungalow",18.536467,73.836483,"2"
"45","BRTS","100-U","100-U-07","7","Rangehills Corner",18.539017,73.833213,"2"
"46","BRTS","100-U","100-U-08","8","Pune Vidhyapeeth Gate Aundh Road",18.543632,73.827019,"3"
"47","BRTS","100-U","100-U-09","9","Bal Kalyan Sanstha",18.548821,73.823301,"3"
"48","BRTS","100-U","100-U-10","10","Gol Market Aundh Road",18.551242,73.821523,"3"
"49","BRTS","100-U","100-U-11","11","Kasturba Gandhi Vasahat",18.555117,73.818767,"4"
"50","BRTS","100-U","100-U-12","12","Sindh Colony Aundh Road",18.556477,73.817735,"4"
"51","BRTS","100-U","100-U-13","13","Bremen Chowk",18.560652,73.814618,"4"
"52","BRTS","100-U","100-U-14","14","Bodygate",18.563284,73.813126,"4"
"53","BRTS","100-U","100-U-15","15","Aundhgaon",18.565572,73.812173,"5"
"54","BRTS","100-U","100-U-16","16","Sangvi Phata",18.572723,73.807175,"5"
"55","BRTS","100-U","100-U-17","17","Aundh Hospital",18.576771,73.803269,"6"
"56","BRTS","100-U","100-U-18","18","Rakshak Chowk",18.581076,73.798612,"6"
"57","BRTS","100-U","100-U-19","19","Wakad Phata",18.587657,73.789301,"7"
"58","BRTS","100-U","100-U-20","20","Vishalnagar",18.588361,73.784156,"8"
"59","BRTS","100-U","100-U-21","21","Apple Hospital",18.588332,73.781379,"8"
"60","BRTS","100-U","100-U-22","22","Mankar Chowk",18.590416,73.77338,"9"
"61","BRTS","100-U","100-U-23","23","Mount Vert Society Wakad",18.590136,73.769824,"9"
"62","BRTS","100-U","100-U-24","24","Wakad Chowk",18.592292,73.761924,"9"
"63","BRTS","100-U","100-U-25","25","Sawtamali Mandir",18.59175,73.75453,"9"
"64","BRTS","100-U","100-U-26","26","Hinjawadi Jakat Naka",18.59585,73.74027,"10"
"65","BRTS","100-U","100-U-27","27","Shivaji Chowk Hinjawadi",18.590952,73.73889,"10"
"66","BRTS","100-U","100-U-28","28","Infosys Phase 1",18.586293,73.733322,"11"
"67","BRTS","100-U","100-U-29","29","Siemens",18.591,73.732934,"11"
"68","BRTS","100-U","100-U-30","30","Bank Of Maharashtra Hinjawadi",18.594083,73.729656,"11"
"69","BRTS","100-U","100-U-31","31","Tata Johnsan",18.594354,73.728016,"11"
"70","BRTS","100-U","100-U-32","32","Wipro Company Circle",18.596842,73.718571,"12"
"71","BRTS","100-U","100-U-33","33","Emcure",18.595943,73.713016,"12"
"72","BRTS","100-U","100-U-34","34","Infosys Phase 2",18.593672,73.708373,"13"
"73","BRTS","100-U","100-U-35","35","Power House Hinjawadi",18.58916,73.70516,"13"
"74","BRTS","100-U","100-U-36","36","Tata Motors",18.586665,73.699956,"14"
"75","BRTS","100-U","100-U-37","37","Tech Mahindra",18.581215,73.687763,"14"
"76","BRTS","100-U","100-U-38","38","Hinjawadi Maan Phase 3",18.576539,73.688389,"15"
"77","Non-BRTS","101-D","101-D-00","0","Kondhwa Bk",18.45419,73.89066,"1"
"78","Non-BRTS","101-D","101-D-01","1","Ramdas Maral",18.457354,73.890823,"2"
"79","Non-BRTS","101-D","101-D-02","2","Talab Company",18.461705,73.890321,"2"
"80","Non-BRTS","101-D","101-D-03","3","Kondhwa Police Station",18.46319,73.889488,"2"
"81","Non-BRTS","101-D","101-D-04","4","Chaitanya Vidyalay",18.468647,73.888936,"2"
"82","Non-BRTS","101-D","101-D-05","5","Kondhwa Kh",18.473,73.889113,"3"
"83","Non-BRTS","101-D","101-D-06","6","Kondhwa Shala",18.476033,73.889608,"3"
"84","Non-BRTS","101-D","101-D-07","7","U Co Bank",18.479033,73.89065,"3"
"85","Non-BRTS","101-D","101-D-08","8","Kamela",18.482842,73.890993,"3"
"86","Non-BRTS","101-D","101-D-09","9","Lullanagar",18.485119,73.889547,"4"
"87","Non-BRTS","101-D","101-D-10","10","Netajinagar",18.488081,73.892815,"4"
"88","Non-BRTS","101-D","101-D-11","11","Shinde Chhatri",18.492007,73.894471,"4"
"89","Non-BRTS","101-D","101-D-12","12","Vanwadi Bazar",18.49514,73.89449,"4"
"90","Non-BRTS","101-D","101-D-13","13","Vanwadi Corner",18.498479,73.895317,"5"
"91","Non-BRTS","101-D","101-D-14","14","Military Hospital Vanawadi ",18.501818,73.890816,"5"
"92","Non-BRTS","101-D","101-D-15","15","Limb Center",18.503897,73.887724,"5"
"93","Non-BRTS","101-D","101-D-16","16","Mahatma Gandhi Stand",18.504904,73.882404,"5"
"94","Non-BRTS","101-D","101-D-17","17","Golibar Maidan",18.502202,73.876229,"6"
"95","Non-BRTS","101-D","101-D-18","18","Meera Society",18.501784,73.87231,"6"
"96","Non-BRTS","101-D","101-D-19","19","ST Vibhagiya Karyalay",18.500407,73.866537,"6"
"97","Non-BRTS","101-D","101-D-20","20","Ghorpade Peth",18.499884,73.863814,"6"
"98","Non-BRTS","101-D","101-D-21","21","Swargate Depo",18.500158,73.861415,"7"
"99","Non-BRTS","101-D","101-D-22","22","Nehru Stadium",18.50111,73.85551,"7"
"100","Non-BRTS","101-D","101-D-23","23","Sarasbaug",18.503399,73.853721,"7"
"101","Non-BRTS","101-D","101-D-24","24","Madiwale Colony",18.506132,73.852753,"7"
